X(LU)   Y(LU)   Z(LU)   Vx(VU)   Vy(VU)   Vz(VU)   T(TU)  C
0.475456032865698 -0.865222356629076 0.000000000000000 0.009164338718713 0.010649896885594 0.000000000000000 6.582644473885200 2.987939992727472 
0.462770085603641 -0.865222356629076 0.000000000000000 0.017292663434582 0.020728544546270 -0.000000000000000 6.582510190211251 2.987779242864009 
0.449855098909786 -0.865222356629076 0.000000000000000 0.025605683364112 0.030676981738134 -0.000000000000000 6.582289251613718 2.987514512579689 
0.436707617332836 -0.865222356629076 0.000000000000000 0.034095866833447 0.040482684922228 -0.000000000000000 6.581982097075690 2.987145967679307 
0.423323795115582 -0.865222356629076 -0.000000000000000 0.042754540450648 0.050133083522781 -0.000000000000000 6.581589328706744 2.986673831920962 
0.409699339146584 -0.865222356629076 0.000000000000000 0.051571815899700 0.059615613120011 -0.000000000000000 6.581111704444941 2.986098382114830 
0.395829451804483 -0.865222356629076 0.000000000000000 0.060536507798964 0.068917770151333 -0.000000000000000 6.580550129439338 2.985419942533526 
0.381708774862491 -0.865222356629076 0.000000000000000 0.069636040573477 0.078027168613732 -0.000000000000000 6.579905646380849 2.984638878832897 
0.367331335840134 -0.865222356629076 -0.000000000000000 0.078856342142258 0.086931599626346 0.000000000000000 6.579179425084550 2.983755591722923 
0.352690498480282 -0.865222356629076 -0.000000000000000 0.088181722122486 0.095619095135481 0.000000000000000 6.578372751663238 2.982770510671367 
0.337778919418622 -0.865222356629076 0.000000000000000 0.097594732225785 0.104077997524486 -0.000000000000000 6.577487017674137 2.981684087970089 
0.322588513634394 -0.865222356629076 0.000000000000000 0.107076006597759 0.112297037429071 -0.000000000000000 6.576523709639518 2.980496793548186 
0.307110431965426 -0.865222356629076 -0.000000000000000 0.116604080077200 0.120265422653194 0.000000000000000 6.575484399387248 2.979209110980915 
0.291335054881711 -0.865222356629076 0.000000000000000 0.126155182792907 0.127972941728309 -0.000000000000000 6.574370735685416 2.977821535222515 
0.275252007887827 -0.865222356629076 0.000000000000000 0.135703010271215 0.135410086349055 0.000000000000000 6.573184437692419 2.976334572688313 
0.258850205411267 -0.865222356629076 -0.000000000000000 0.145218469429864 0.142568197628104 0.000000000000000 6.571927290794690 2.974748744430208 
0.242117931864828 -0.865222356629076 -0.000000000000000 0.154669402668995 0.149439641797424 0.000000000000000 6.570601145459006 2.973064593290808 
0.225042970752243 -0.865222356629076 -0.000000000000000 0.164020294978981 0.156018021563649 -0.000000000000000 6.569207919790012 2.971282696082332 
0.207612795163316 -0.865222356629076 0.000000000000000 0.173231972873644 0.162298429667706 -0.000000000000000 6.567749606542302 2.969403682007362 
0.189814835622911 -0.865222356629076 -0.000000000000000 0.182261309383602 0.168277751096239 0.000000000000000 6.566228285368545 2.967428258697444 
0.171636843686987 -0.865222356629076 0.000000000000000 0.191060956690271 0.173955019527695 -0.000000000000000 6.564646141073245 2.965357247352781 
0.153067371329273 -0.865222356629076 0.000000000000000 0.199579137561321 0.179331831525934 -0.000000000000000 6.563005488527263 2.963191628454448 
0.134096386066353 -0.865222356629076 0.000000000000000 0.207759538663743 0.184412818125015 -0.000000000000000 6.561308804621125 2.960932599287291 
0.114716038489326 -0.865222356629076 0.000000000000000 0.215541362683408 0.189206167069922 0.000000000000000 6.559558767107320 2.958581643911499 
0.094921590455687 -0.865222356629076 -0.000000000000000 0.222859610677296 0.193724179354057 -0.000000000000000 6.557758299287812 2.956140615070565 
0.074712496350629 -0.865222356629076 0.000000000000000 0.229645678496254 0.197983830310476 0.000000000000000 6.555910618161975 2.953611825626638 
0.054093604417912 -0.865222356629076 -0.000000000000000 0.235828356772040 0.202007288491544 0.000000000000000 6.554019281799732 2.950998144327468 
0.033076409303446 -0.865222356629076 -0.000000000000000 0.241335316049588 0.205822326307826 0.000000000000000 6.552088229454992 2.948303087061690 
0.011680242710489 -0.865222356629076 -0.000000000000000 0.246095128937877 0.209462538275248 0.000000000000000 6.550121805597632 2.945530890626166 
-0.010066756541993 -0.865222356629076 0.000000000000000 0.250039822325926 0.212967271572803 0.000000000000000 6.548124757293416 2.942686552310441 
-0.032127085482036 -0.865222356629076 -0.000000000000000 0.253107862694548 0.216381177279823 -0.000000000000000 6.546102194169263 2.939775816784618 
-0.054453928982041 -0.865222356629076 -0.000000000000000 0.255247365124269 0.219753316933434 0.000000000000000 6.544059502642614 2.936805093688351 
-0.076991972620315 -0.865222356629076 0.000000000000000 0.256419205438846 0.223135811775149 -0.000000000000000 6.542002211869969 2.933781296442917 
-0.099679028948871 -0.865222356629076 -0.000000000000000 0.256599641644465 0.226582096571374 0.000000000000000 6.539935817604934 2.930711605235279 
-0.122448388176531 -0.865222356629076 0.000000000000000 0.255782053471117 0.230144920554260 -0.000000000000000 6.537865580031634 2.927603172663646 
-0.145231656101584 -0.865222356629076 0.000000000000000 0.253977507952640 0.233874301132440 -0.000000000000000 6.535796319585105 2.924462804795358 
-0.167961735026413 -0.865222356629076 0.000000000000000 0.251214041227918 0.237815658818293 0.000000000000000 6.533732237700918 2.921296658291820 
-0.190575575793141 -0.865222356629076 -0.000000000000000 0.247534763647158 0.242008333702911 -0.000000000000000 6.531676785784867 2.918109992477061 
-0.213016390313929 -0.865222356629076 -0.000000000000000 0.242995082208807 0.246484612601277 -0.000000000000000 6.529632596422013 2.914907004074141 
-0.235235139513936 -0.865222356629076 0.000000000000000 0.237659439769919 0.251269304620023 0.000000000000000 6.527601479043341 2.911690755696871 
